#a_0,M_0,emax,emin,tcol
1.270,004,1912.37496,0.00095,-214.02539
1.270,008,11734.22207,0.00095,-50.11444
1.270,010,0.94126,0.00095,88.28574
1.270,014,1.09554,0.00095,28.68098
1.270,012,1.28301,0.00095,-66.94519
1.270,018,0.56491,0.00095,66.14288
1.270,022,0.49355,0.00095,58.18994
1.270,020,0.45358,0.00095,103.07497
1.270,024,0.74558,0.00095,38.88507
1.270,026,2.55618,0.00094,-126.36806
1.270,030,0.72000,0.00091,18.47437
1.270,016,0.33219,0.00095,861.44739
1.270,028,7.85319,0.00093,-279.39055
1.270,032,0.43640,0.00090,30.90369
1.270,034,0.50458,0.00089,124.91779
1.270,036,0.60476,0.00089,164.61980
1.270,038,1.14154,0.00088,-99.57625
1.270,040,1.30247,0.00087,-91.33261
1.270,042,8988.55798,0.00086,-251.43089
1.270,044,7.65687,0.00086,-43.48518
1.270,046,0.65708,0.00085,76.85106
1.270,048,1.69903,0.00085,-32.15018
1.270,050,0.82768,0.00085,53.65157
1.270,052,2.34749,0.00084,-30.26101
1.270,054,0.91149,0.00083,-109.19382
1.270,060,0.47579,0.00076,44.17323
1.270,056,0.61870,0.00081,94.43163
1.270,058,1.48047,0.00078,-101.98064
1.270,062,3.55671,0.00074,-74.84534
1.270,064,1.26151,0.00073,-254.83139
1.270,066,0.63295,0.00071,57.67571
1.270,068,0.90396,0.00070,24.46204
1.270,070,0.72373,0.00070,90.34685
1.270,072,12.78069,0.00069,-203.06822
1.270,074,0.93331,0.00068,-6.86970
1.270,076,205.68966,0.00063,-0.68697
1.270,078,1.48328,0.00057,-21.57085
1.270,080,0.51136,0.00053,53.08949
1.270,082,1.29418,0.00049,-75.53231
1.270,086,1.11523,0.00044,-17.41468
1.270,088,0.50350,0.00044,60.42934
1.270,090,0.57602,0.00045,177.49569
1.270,092,0.96248,0.00046,12.25357
1.270,094,1.38016,0.00046,-14.76985
1.270,084,0.87186,0.00046,686.95038
1.270,096,0.96661,0.00035,-39.70685
1.270,100,0.52566,0.00018,47.42224
1.270,102,0.41666,0.00015,91.48507
1.270,104,0.51721,0.00018,32.96816
1.270,106,1.41516,0.00024,-70.03655
1.270,108,1.08147,0.00011,-51.14489
1.270,110,6.52682,0.00020,-53.54928
1.270,098,1.80020,0.00025,-529.10401
1.270,118,1.10778,0.00030,-37.06201
1.270,116,6.01057,0.00020,-101.98064
1.270,114,1.37075,0.00011,-149.03806
1.270,120,3.30828,0.00027,-161.06003
1.270,124,0.99997,0.00014,69.21521
1.270,126,0.84809,0.00013,230.79526
1.270,128,0.40351,0.00016,282.86483
1.270,132,1693.18816,0.00008,-18.17035
1.270,134,2.45008,0.00011,-41.97384
1.270,112,0.72920,0.00009,1822.36936
1.270,122,0.87147,0.00015,-853.35368
1.270,138,56.05019,0.00015,-20.81518
1.270,136,0.78674,0.00018,122.92094
1.270,140,1.80780,0.00016,-40.84034
1.270,144,2.17753,0.00023,-27.99401
1.270,148,0.64471,0.00023,2.12299
1.270,150,0.53218,0.00023,137.44832
1.270,142,0.38497,0.00019,305.94021
1.270,146,0.82005,0.00025,-432.92827
1.270,156,1.59617,0.00024,-34.41718
1.270,152,1.81385,0.00023,-75.18883
1.270,154,0.79223,0.00023,-71.06701
1.270,158,0.86060,0.00025,-268.43339
1.270,160,0.89987,0.00026,-41.59601
1.270,162,0.81861,0.00028,-57.32762
1.270,164,1.19846,0.00030,-39.70685
1.270,166,0.99811,0.00032,38.24244
1.270,170,2.99897,0.00038,-5.49576
1.270,172,4.79279,0.00042,-89.95867
1.270,176,0.99714,0.00054,33.14344
1.270,168,0.86482,0.00035,-311.50638
1.270,178,0.86749,0.00063,17.05357
1.270,174,6.12146,0.00047,-83.43246
1.270,180,0.90146,0.00074,-399.61024
1.280,002,0.40828,0.00073,195.06238
1.280,000,1.00506,0.00004,-452.54447
1.280,004,0.93394,0.00095,-256.03987
1.270,130,0.62401,0.00013,3426.66262
1.280,006,0.71774,0.00095,394.54549
1.280,008,1.21900,0.00095,-374.17201
1.280,010,0.58044,0.00019,416.21379
1.280,012,2.31173,0.00095,510.58527
1.280,016,0.68315,0.00095,336.97713
1.280,014,0.82596,0.00095,-446.42760
1.280,024,0.90985,0.00095,-16.02204
1.280,020,0.99554,0.00021,-215.89788
1.280,026,1.26687,0.00094,-57.20668
1.280,022,1.04381,0.00081,-459.04365
1.280,030,0.51127,0.00092,53.91277
1.280,034,0.94192,0.00090,-13.34591
1.280,028,1.12033,0.00093,-134.36272
1.280,032,0.68261,0.00091,300.14281
1.280,036,4.58186,0.00089,-1.77250
1.280,038,0.43755,0.00088,116.53530
1.280,042,0.99485,0.00087,24.64408
1.280,044,0.56116,0.00086,48.11211
1.280,040,2.28532,0.00087,-307.65100
1.280,046,0.54076,0.00085,37.22104
1.280,018,0.61377,0.00045,1040.18066
1.280,048,0.94801,0.00085,5.11576
1.280,050,0.62651,0.00085,14.74624
1.280,054,0.85219,0.00084,-16.40435
1.280,052,0.62701,0.00085,923.22238
1.280,062,0.40423,0.00075,97.29984
1.280,060,0.99049,0.00077,150.31440
1.280,058,0.84307,0.00079,-220.86784
1.280,064,1.20433,0.00074,-40.10724
1.280,056,0.49630,0.00082,795.64192
1.280,068,1.75998,0.00071,-73.88907
1.280,070,0.56476,0.00070,55.46587
1.280,072,0.51209,0.00070,108.44660
1.280,074,0.83061,0.00070,-129.84457
1.280,078,0.56480,0.00059,45.26771
1.280,076,0.69220,0.00064,387.70499
1.280,084,42.66515,0.00047,-168.77014
1.280,086,3.07980,0.00045,-39.34263
1.280,080,0.56194,0.00054,581.60235
1.280,082,0.97126,0.00050,-930.52958
1.280,088,1.24241,0.00045,125.88250
1.280,090,86.46900,0.00045,343.86568
1.280,092,0.86413,0.00046,-137.83821
1.280,094,0.86393,0.00048,-302.29873
1.280,096,0.83812,0.00038,-56.16403
1.280,098,0.47405,0.00028,130.42025
1.280,102,0.51777,0.00015,5.33957
1.280,104,2.90526,0.00017,-42.01876
1.280,108,0.63897,0.00029,125.17326
1.280,106,2061.77931,0.00022,-260.62752
1.280,110,0.58608,0.00024,77.48650
1.280,114,0.98415,0.00009,-127.06417
1.280,112,0.80795,0.00011,363.80447
1.280,116,0.51429,0.00017,136.69521
1.280,120,0.96008,0.00008,-138.88086
1.280,118,0.86383,0.00027,-362.70287
1.280,100,1.27391,0.00020,-1277.73174
1.280,124,0.63917,0.00005,526.19282
1.280,126,1.68146,0.00029,-546.59142
1.280,132,3.48516,0.00010,-46.08509
1.280,128,1.13234,0.00019,-986.13753
1.280,130,1.11094,0.00007,-464.39592
1.280,140,1.27487,0.00017,-19.46278
1.280,142,2.09180,0.00017,-51.29834
1.280,138,0.86863,0.00020,-286.24194
1.280,144,1.25815,0.00018,-44.31259
1.280,146,0.69366,0.00020,79.98931
1.280,134,0.90416,0.00015,-716.33470
1.280,136,0.85287,0.00016,990.15325
1.280,152,1.94957,0.00023,-162.16669
1.280,150,1.12412,0.00022,-363.08518
1.280,156,1.24096,0.00027,-36.66649
1.280,154,0.96989,0.00024,-180.34354
1.280,148,2.39456,0.00023,-513.71322
1.280,158,0.51362,0.00030,34.90443
1.280,160,0.73086,0.00033,90.96566
1.280,162,0.53337,0.00037,22.09764
1.280,168,0.42458,0.00047,76.49246
1.280,166,0.59624,0.00044,82.94157
1.280,164,0.82673,0.00041,133.73378
1.280,170,6.00438,0.00051,-14.49282
1.280,172,4.79456,0.00056,-120.46073
1.280,174,0.68913,0.00060,71.26200
1.280,176,0.98893,0.00063,28.69409
1.280,178,0.67950,0.00066,143.38951
1.280,180,0.70430,0.00071,568.78835
1.290,008,1.37215,0.00095,-423.89057
1.290,010,0.67164,0.00095,420.21762
1.290,014,0.85174,0.00095,289.54793
1.290,012,0.86752,0.00095,-976.26692
1.290,016,0.54113,0.00095,743.05028
1.290,022,2.76530,0.00086,-54.88952
1.290,024,0.56328,0.00095,32.65122
1.290,026,0.52707,0.00094,155.55880
1.290,030,0.90018,0.00092,38.49891
1.290,020,0.29812,0.00065,441.21903
1.290,006,1.65206,0.00086,1752.49125
1.290,028,0.54893,0.00093,81.87689
1.290,032,0.87518,0.00091,13.59309
1.290,018,0.90395,0.00083,-500.19439
1.290,034,0.54258,0.00090,41.87664
1.290,038,0.53494,0.00088,1.07278
1.280,122,0.83715,0.00009,6255.27790
1.290,036,361.17296,0.00089,-52.07648
1.290,040,0.91688,0.00088,156.57349
1.290,042,0.46401,0.00087,26.46860
1.290,044,0.63256,0.00086,197.49197
1.290,046,0.57553,0.00086,108.97420
1.290,048,0.78257,0.00085,111.52878
1.290,050,1.10917,0.00085,-36.18278
1.290,058,0.51064,0.00080,61.57856
1.290,056,0.82100,0.00083,92.42669
1.290,052,0.46967,0.00085,221.03783
1.290,062,0.32993,0.00076,60.20243
1.290,060,2.06225,0.00078,-212.63096
1.290,064,0.60983,0.00074,134.94877
1.290,054,0.66722,0.00085,988.49055
1.290,070,3.28936,0.00071,31.99838
1.290,068,0.51707,0.00072,134.23796
1.290,066,0.47565,0.00073,207.04149
1.290,072,0.46060,0.00070,52.09916
1.290,074,0.72232,0.00070,62.49275
1.290,000,0.84413,0.00014,-5529.81156
1.280,066,0.77280,0.00072,12564.92321
1.290,076,1.51237,0.00066,-2.28560
1.290,080,0.46136,0.00056,105.86906
1.290,082,55.45117,0.00052,-9.56435
1.290,084,0.69673,0.00048,7.59440
1.290,086,0.90120,0.00046,37.25136
1.290,088,0.56933,0.00045,127.30324
1.290,092,1.49428,0.00046,-64.03191
1.290,078,0.56480,0.00061,785.34734
1.290,094,0.58188,0.00048,33.69980
1.290,002,0.54570,0.00006,6434.96821
1.290,090,1.07878,0.00045,-937.58756
1.290,096,0.54054,0.00041,93.21081
1.290,098,0.42577,0.00030,163.56790
1.290,102,0.45702,0.00016,30.30856
1.290,100,0.51147,0.00022,143.02892
1.290,104,0.54047,0.00016,145.23935
1.290,106,0.44037,0.00021,122.30967
1.290,108,0.58834,0.00027,803.99218
1.290,110,0.84952,0.00003,-331.76338
1.290,116,0.53565,0.00014,356.85642
1.290,112,0.84305,0.00002,-879.56853
1.290,118,0.96596,0.00024,297.78821
1.290,120,2.54764,0.00027,-683.74551
1.290,136,0.89790,0.00002,87.80236
1.290,140,0.45731,0.00020,72.69308
1.290,134,0.86384,0.00017,373.26008
1.290,130,2.19034,0.00002,-734.52095
1.290,128,0.81939,0.00017,-948.03099
1.290,138,0.89562,0.00018,391.28798
1.290,132,0.93712,0.00015,788.15475
1.290,142,0.74065,0.00017,47.79322
1.290,146,55.05229,0.00017,-252.08391
1.290,148,1.29721,0.00017,-243.57445
1.290,150,0.79522,0.00018,-8.79076
1.290,152,1.01806,0.00019,-155.45584
1.290,154,0.92643,0.00020,22.37398
1.290,156,1.12879,0.00021,-4.18440
1.290,122,0.82044,0.00022,-2623.62065
1.290,144,0.55606,0.00016,1511.12925
1.290,124,0.57873,0.00013,2893.21966
1.290,158,0.91098,0.00021,-80.55855
1.290,160,0.68002,0.00022,13.47651
1.290,162,1.23325,0.00022,-147.71997
1.290,114,0.58874,0.00007,3353.82594
1.290,164,0.70931,0.00022,28.36137
1.290,166,1.20827,0.00023,-85.48137
1.290,170,1.34214,0.00024,-29.22049
1.290,172,1.94107,0.00026,-144.20367
1.290,168,0.80659,0.00023,-418.61611
1.290,126,0.83533,0.00018,-3699.92644
1.290,174,0.87325,0.00028,-8.01718
1.290,176,5.19631,0.00032,-47.50528
1.290,178,0.47855,0.00036,72.64586
1.290,180,6.87124,0.00043,-29.22049
1.300,026,0.39304,0.00094,98.70321
1.300,018,0.68073,0.00095,485.53353
1.300,024,0.42229,0.00095,385.96940
1.300,022,0.63107,0.00060,627.35861
1.300,020,0.88384,0.00028,-763.81733
1.300,028,1.07412,0.00093,-243.67309
1.300,032,1.26325,0.00091,166.33801
1.300,034,0.51360,0.00090,90.29327
1.300,036,2.49959,0.00089,-99.81704
1.300,030,0.94850,0.00092,-677.09105
1.300,038,0.68554,0.00089,192.97517
1.300,042,0.98151,0.00087,3.85189
1.300,046,0.77991,0.00086,31.47958
1.300,048,0.77945,0.00086,50.35986
1.300,044,0.73871,0.00087,155.32349
1.300,040,0.79118,0.00088,929.80865
1.300,014,0.65792,0.00095,2576.34696
1.300,050,0.55305,0.00085,70.49586
1.300,052,1.49740,0.00085,-107.64303
1.300,056,0.52717,0.00084,104.73873
1.300,054,0.95408,0.00085,208.60439
1.300,060,0.92974,0.00079,74.62564
1.300,062,1.00018,0.00077,-31.37513
1.300,064,2.27870,0.00075,-30.98383
1.300,066,1.46115,0.00074,-5.54934
1.300,070,0.99569,0.00072,22.36609
1.300,072,1.12423,0.00071,-107.64303
1.300,068,0.90438,0.00072,-425.59196
1.300,076,0.81850,0.00068,-63.53287
1.300,078,2.55914,0.00063,-57.12978
1.300,074,0.59722,0.00071,20.57300
1.290,004,0.49260,0.00024,18902.29672
1.300,012,6.80885,0.00095,-5717.67356
1.300,080,0.59853,0.00058,371.79799
1.300,082,0.71093,0.00053,17.75732
1.300,084,1.02301,0.00050,-14.94054
1.300,086,3.82074,0.00047,-25.89694
1.300,016,0.74391,0.00022,6846.73639
1.300,088,1.14234,0.00046,-76.33905
1.300,090,0.76934,0.00046,335.23180
1.300,094,0.98976,0.00048,-99.10558
1.300,092,1.40057,0.00046,214.04996
1.300,100,1.84535,0.00024,-96.61549
1.300,098,2.28229,0.00033,-323.49827
1.300,102,0.96304,0.00018,42.82923
1.300,058,0.76836,0.00081,3433.82858
1.300,096,0.60249,0.00044,1248.70656
1.300,106,0.43111,0.00020,354.78935
1.300,108,0.54001,0.00025,464.33512
1.300,104,0.60900,0.00016,1166.09160
1.300,110,1.42395,0.00032,-1818.37045
1.300,134,0.64263,0.00022,572.42140
1.300,136,0.84679,0.00024,211.07435
1.300,132,1.92329,0.00014,-1706.45869
1.300,112,0.84987,0.00018,-3109.65999
1.300,138,7.20547,0.00023,-400.33533
1.300,142,1.11637,0.00020,-131.83248
1.300,140,1.41777,0.00023,-427.72632
1.300,144,0.91862,0.00017,168.72771
1.300,148,0.72735,0.00013,23.98658
1.300,146,0.66916,0.00016,65.04675
1.300,150,3.61284,0.00012,-14.94054
1.300,152,1.17831,0.00013,-125.07366
1.300,156,108.70065,0.00016,-15.33184
1.300,154,1.57363,0.00016,290.66465
1.300,158,0.85682,0.00016,-42.33153
1.300,160,0.94906,0.00016,-96.61549
1.300,162,20688.00193,0.00016,-1.92093
1.300,164,1.16446,0.00015,-17.67964
1.300,168,0.61174,0.00015,21.09554
1.300,166,0.60375,0.00015,86.61694
1.300,172,0.46256,0.00013,122.40304
1.300,170,0.84030,0.00014,-768.90423
1.300,174,2.13078,0.00012,12.94847
1.300,178,0.80806,0.00007,30.70116
1.300,176,0.84346,0.00010,-749.73053
1.300,180,0.57887,0.00003,71.48565
1.300,114,0.91435,0.00008,-10963.97308
1.300,010,1.07718,0.00005,-26023.64622
1.300,116,0.98677,0.00011,-19834.06503
1.310,014,4.57931,0.00095,-899.63489
1.310,012,1.13595,0.00095,-3864.56894
1.310,016,0.71582,0.00095,479.65175
1.310,018,1.18861,0.00095,-811.47420
1.310,020,0.71768,0.00095,774.05821
1.310,022,0.94759,0.00095,-567.82683
1.310,024,0.52706,0.00095,37.60277
1.310,026,0.49199,0.00094,129.43009
1.310,028,0.94095,0.00093,-762.89586
1.310,030,1.16460,0.00092,-44.97995
1.310,032,0.58676,0.00092,138.82578
1.310,034,1.12852,0.00091,202.48172
1.310,036,0.94483,0.00090,65.48220
1.310,038,1.22188,0.00089,-14.71744
1.310,042,1.33679,0.00088,-2.95068
1.310,040,0.72448,0.00088,348.74969
1.310,044,0.61273,0.00087,47.85310
1.310,046,0.94634,0.00086,-676.85822
1.310,048,0.98364,0.00086,35.74911
1.310,052,0.48539,0.00085,32.97246
1.310,050,0.86751,0.00086,-1009.38596
1.310,054,1.75048,0.00085,-22.99375
1.310,056,0.55742,0.00084,36.72776
1.310,058,0.91161,0.00082,12.70716
1.310,060,0.94429,0.00080,14.38818
1.310,062,1.26609,0.00078,-47.49882
1.310,064,0.55163,0.00076,82.10954
1.300,118,0.97792,0.00006,-38007.98705
1.310,066,0.85736,0.00074,-113.70930
1.310,068,0.48595,0.00073,81.39789
1.310,070,3.30381,0.00072,-78.08518
1.310,072,0.90054,0.00072,-15.07728
1.310,074,0.72391,0.00071,26.85101
1.310,076,0.73443,0.00070,345.05735
1.310,078,1.06972,0.00064,-1.11550
1.310,080,0.60196,0.00059,16.04622
1.310,082,59.47003,0.00055,-66.57032
1.310,084,0.64902,0.00051,44.27564
1.310,086,95357.66576,0.00048,-128.46272
1.310,088,1.10835,0.00047,105.00118
1.310,090,0.65697,0.00046,54.13367
1.310,092,0.99853,0.00046,18.11807
1.310,096,0.42933,0.00047,73.25556
1.310,094,0.85544,0.00048,-710.32330
1.310,098,2.52360,0.00036,-137.81855
1.310,102,0.37386,0.00020,487.11002
1.310,100,0.81718,0.00027,-805.71676
1.310,104,0.54406,0.00016,1375.89884
1.310,106,26.26094,0.00010,-1683.22152
1.310,108,0.84993,0.00001,-2945.53870
1.310,110,1.09442,0.00030,-5427.35216
1.300,126,6.71159,0.00006,-76587.80548
1.310,010,1.61251,0.00003,-67991.03752
1.300,002,0.46909,0.00004,100000.00000
1.300,006,0.46841,0.00002,100000.00000
1.300,004,0.46884,0.00003,100000.00000
1.300,000,0.46917,0.00003,100000.00000
1.300,008,0.46761,0.00002,100000.00000
1.300,120,0.46858,0.00003,100000.00000
1.300,124,0.46837,0.00002,100000.00000
1.300,122,0.46835,0.00002,100000.00000
1.300,128,0.46758,0.00004,100000.00000
1.310,136,0.94803,0.00027,326.59755
1.310,132,0.95780,0.00016,3265.95359
1.310,138,0.53912,0.00025,447.59844
1.300,130,0.46673,0.00007,100000.00000
1.310,140,13.52129,0.00021,-477.14726
1.310,142,0.49822,0.00022,519.04607
1.310,148,0.48723,0.00009,35.47425
1.310,150,1.82126,0.00005,-102.55428
1.310,144,0.68673,0.00018,1264.21093
1.310,152,0.93601,0.00005,-96.79684
1.310,134,0.54097,0.00025,6801.29513
1.310,156,0.84491,0.00016,-147.17438
1.310,154,1.10754,0.00009,-535.08143
1.310,146,0.67339,0.00014,2778.27571
1.310,000,0.46792,0.00002,100000.00000
1.310,158,0.56498,0.00017,134.33769
1.310,160,0.89380,0.00018,-238.57363
1.310,006,0.46720,0.00002,100000.00000
1.310,162,0.63714,0.00019,276.86316
1.310,164,12.66072,0.00020,-83.12294
1.310,166,0.94763,0.00022,-73.76711
1.310,008,0.46642,0.00001,100000.00000
1.310,002,0.46788,0.00004,100000.00000
1.310,168,0.72485,0.00025,3.29655
1.310,004,0.46767,0.00001,100000.00000
1.310,170,0.50011,0.00027,49.39704
1.310,172,3.08427,0.00030,-244.33106
1.310,174,1.00409,0.00033,-38.10701
1.310,176,4.95377,0.00035,-34.86845
1.310,178,0.98918,0.00037,21.89432
1.310,180,0.53133,0.00038,465.79691
1.320,016,0.72790,0.00095,315.72642
1.320,012,0.87789,0.00095,368.46298
1.320,014,0.93970,0.00095,462.60842
1.320,018,0.45159,0.00095,372.67843
1.320,026,0.43781,0.00093,9.36786
1.320,022,1.42095,0.00095,-184.82281
1.320,020,17.42430,0.00095,-1023.55002
1.320,028,30.52977,0.00092,97.76173
1.320,030,0.34341,0.00091,214.15115
1.320,032,0.49696,0.00090,46.65962
1.320,036,4.07521,0.00089,-13.24842
1.320,034,0.79227,0.00089,7.28836
1.320,010,0.58406,0.00009,5129.55036
1.320,038,0.79177,0.00088,-96.08748
1.320,008,3.73455,0.00009,-6560.55456
1.320,040,0.62646,0.00087,216.05919
1.320,044,0.91971,0.00086,-87.49784
1.320,046,1.41934,0.00086,-266.71555
1.320,048,1.99298,0.00085,-2.25660
1.320,050,0.61048,0.00085,21.18021
1.320,052,140.69866,0.00085,-154.54069
1.320,054,0.78029,0.00085,21.92081
1.320,056,0.49365,0.00083,72.22632
1.320,058,0.99130,0.00081,43.73666
1.320,060,0.52413,0.00079,121.56246
1.320,062,0.88094,0.00077,-67.11565
1.320,064,1.63865,0.00075,-102.89367
1.320,066,0.90001,0.00074,-21.25571
1.320,068,0.90561,0.00073,-73.30310
1.320,070,0.86106,0.00072,9.81978
1.320,072,1.66070,0.00071,-14.70430
1.320,074,0.87711,0.00071,-23.80349
1.320,024,2.79164,0.00095,-9781.48691
1.320,076,0.98464,0.00069,-72.57516
1.320,078,1.43797,0.00064,-2.25660
1.320,080,0.55177,0.00059,6.16505
1.320,042,0.97530,0.00086,-4577.47644
1.320,086,28.08587,0.00049,14.37673
1.320,090,2.25266,0.00047,-18.70794
1.320,092,0.82524,0.00048,8.95661
1.320,088,0.49000,0.00048,151.80898
1.320,082,2.55088,0.00055,957.74466
1.320,094,1.96755,0.00049,-92.88456
1.320,096,1.14512,0.00046,-43.82171
1.320,098,0.58684,0.00036,95.43717
1.320,100,0.42421,0.00028,488.23735
1.320,102,0.84718,0.00021,339.41608
1.320,106,0.97167,0.00020,-1906.75410
1.320,104,1.77035,0.00018,-2914.14395
1.320,084,0.86712,0.00051,-12971.70038
1.310,112,0.46624,0.00002,100000.00000
1.310,114,0.46729,0.00002,100000.00000
1.310,116,0.46792,0.00001,100000.00000
1.310,118,0.46825,0.00001,100000.00000
1.310,120,0.46832,0.00001,100000.00000
1.310,124,0.46810,0.00003,100000.00000
1.310,122,0.46829,0.00001,100000.00000
1.310,130,0.46576,0.00001,100000.00000
1.310,128,0.46681,0.00001,100000.00000
1.310,126,0.46763,0.00001,100000.00000
1.320,134,0.96454,0.00017,384.59234
1.320,136,1.56422,0.00013,205.45978
1.320,138,0.49147,0.00011,320.22795
1.320,132,0.93502,0.00016,-2521.31359
1.320,140,0.51268,0.00011,277.27398
1.320,142,9.22377,0.00010,-87.49784
1.320,144,0.90741,0.00010,-47.09742
1.320,146,0.44471,0.00009,69.33925
1.320,130,1.10158,0.00007,-5555.45770
1.320,148,0.86386,0.00008,-90.88274
1.320,150,3.05348,0.00004,-62.38407
1.320,152,12.66156,0.00005,-42.36584
1.320,154,20.26938,0.00005,-179.36329
1.320,156,0.53064,0.00011,25.69191
1.320,158,2.25004,0.00018,-184.09487
1.320,160,0.98002,0.00021,-322.03864
1.320,162,0.67040,0.00023,44.59028
1.320,164,0.44840,0.00026,8.83394
1.320,166,1.13795,0.00029,11.10102
1.320,168,0.78185,0.00033,12.30343
1.320,170,0.51898,0.00038,4.19461
1.320,172,0.69096,0.00043,8.52387
1.320,174,0.60581,0.00049,63.77482
1.320,176,0.71730,0.00055,6.31518
1.320,178,26.17388,0.00055,-29.62697
1.320,180,0.87913,0.00055,857.41397
1.330,000,0.53976,0.00006,926.75049
1.330,006,1.41174,0.00035,-752.27274
1.330,010,0.33092,0.00084,202.62195
1.330,004,0.83692,0.00019,1625.02874
1.330,014,0.43527,0.00095,190.89984
1.330,012,1.92733,0.00095,-808.96192
1.330,002,0.51304,0.00011,3972.98753
1.320,002,0.46362,0.00001,100000.00000
1.330,016,0.82693,0.00095,-213.76237
1.320,000,0.46356,0.00004,100000.00000
1.330,008,0.57603,0.00055,3357.72852
1.320,006,0.46321,0.00005,100000.00000
1.330,022,0.54382,0.00095,9.74346
1.330,024,1.96307,0.00095,-49.73187
1.330,020,0.85833,0.00095,-291.50753
1.330,018,0.99563,0.00082,-584.26664
1.330,026,1.12349,0.00094,5.37443
1.320,004,0.46353,0.00005,100000.00000
1.330,028,0.58485,0.00093,59.21213
1.330,030,0.70290,0.00092,15.23838
1.330,038,0.70971,0.00088,67.13359
1.330,042,0.54329,0.00087,58.84922
1.330,040,0.80401,0.00087,193.64846
1.330,044,296.69546,0.00086,-12.14768
1.330,036,306.41847,0.00089,-246.96603
1.330,046,0.87939,0.00086,-33.60858
1.330,034,1.05165,0.00090,-416.22372
1.330,048,32.18745,0.00086,-1.14115
1.330,032,0.68750,0.00091,1141.77952
1.330,052,0.41884,0.00085,28.51644
1.330,050,1.38422,0.00085,97.14464
1.330,054,0.87522,0.00085,36.55117
1.330,056,0.90855,0.00084,36.18390
1.330,058,0.56861,0.00081,45.03381
1.330,060,2.74276,0.00079,-31.98889
1.330,062,1.15070,0.00077,-79.54890
1.330,064,0.89543,0.00076,-25.51013
1.330,066,0.74506,0.00074,63.30621
1.330,068,0.91352,0.00073,-31.17905
1.330,072,0.66015,0.00072,36.85546
1.330,074,0.46498,0.00072,70.91260
1.330,076,0.53348,0.00071,54.10904
1.330,078,5.86045,0.00065,-38.06273
1.330,080,0.62315,0.00061,0.67817
1.330,082,1.38730,0.00056,-18.22152
1.330,084,0.55658,0.00053,72.22054
1.330,070,1.24532,0.00072,-1387.59645
1.330,092,0.85431,0.00048,12.36533
1.330,088,1.29567,0.00048,-88.75169
1.330,090,0.85510,0.00048,-167.19626
1.330,096,0.45088,0.00049,42.97158
1.330,094,0.84265,0.00049,-165.57657
1.330,100,0.57609,0.00030,247.15999
1.330,086,1.75058,0.00050,-750.65305
1.330,098,0.70896,0.00039,864.98280
1.330,102,1.61050,0.00023,-768.06473
1.330,104,1.36174,0.00019,-384.63975
1.330,108,0.54841,0.00023,990.94670
1.330,112,0.58039,0.00027,6343.53597
1.330,120,1.11966,0.00022,-5748.90835
1.330,128,1.01085,0.00008,-829.20806
1.330,126,1.00247,0.00031,-973.76546
1.320,108,0.46353,0.00006,100000.00000
1.330,106,0.45702,0.00009,8998.73173
1.320,110,0.46391,0.00003,100000.00000
1.320,112,0.46462,0.00001,100000.00000
1.330,132,0.94033,0.00011,-189.46701
1.330,118,0.45914,0.00012,10320.81742
1.330,134,0.99887,0.00005,81.74989
1.330,138,0.95299,0.00002,35.39686
1.330,136,0.47927,0.00002,271.44615
1.330,140,0.94242,0.00005,48.67991
1.330,130,0.61339,0.00008,1706.08381
1.330,110,0.87988,0.00014,-11858.45558
1.320,116,0.46557,0.00004,100000.00000
1.320,114,0.46521,0.00006,100000.00000
1.330,144,0.60101,0.00006,196.71523
1.330,148,113.59448,0.00005,-27.12982
1.330,150,0.72375,0.00006,151.56787
1.330,146,0.84108,0.00005,596.55317
1.330,154,0.90784,0.00009,-27.93967
1.330,142,0.89712,0.00005,-1145.04776
1.330,152,1.46510,0.00008,-487.89504
1.330,156,0.48192,0.00015,33.41365
1.330,158,1.90191,0.00018,-46.05075
1.330,162,1.65400,0.00029,-16.19691
1.330,164,59.90586,0.00032,-22.67567
1.330,160,0.89148,0.00024,-579.00264
1.330,168,1.69564,0.00040,-19.03137
1.330,166,1.71868,0.00035,-133.58768
1.330,170,0.87114,0.00046,42.75887
1.330,172,2.39741,0.00052,-10.60161
1.330,174,1.10160,0.00053,-106.86278
1.330,176,5.30586,0.00053,-2.61359
1.330,178,1.28921,0.00053,-92.28556
1.330,180,1.50461,0.00053,-58.19843
1.340,000,0.96456,0.00009,-507.33087
1.330,122,0.53692,0.00026,15590.16717
1.340,006,0.97416,0.00011,-67.08323
1.340,004,0.67354,0.00023,423.98618
1.340,008,1.16341,0.00008,160.81727
1.340,010,0.64412,0.00071,201.74748
1.340,014,0.45807,0.00095,46.64017
1.340,012,2.80444,0.00095,-358.68307
1.340,016,0.46649,0.00027,60.48840
1.340,018,0.92329,0.00095,110.28073
1.340,020,0.94315,0.00095,49.46365
1.340,022,0.63228,0.00095,222.33110
1.340,024,0.56259,0.00095,271.45904
1.340,026,0.64309,0.00094,19.28188
1.340,002,1.90924,0.00013,-2482.45170
1.340,028,19.87129,0.00093,-73.63520
1.340,030,0.96250,0.00092,-100.77375
1.340,034,1.37162,0.00090,-19.46977
1.340,036,1.15740,0.00089,-17.60842
1.340,032,0.79355,0.00091,-269.82200
1.340,040,7.27614,0.00088,-19.09750
1.340,038,0.82671,0.00088,-318.14277
